Product_Code,Cust_ID,IPC (Internal Product Code)
KBI-RBI-GM79633300D3-1.80mm,C_001,RBI-GM79633300D3-1.80mm
KBI-IB/GB-GL940A1200A-1.60mm,C_001,IB/GB-GL940A1200A-1.60mm
KBI-TATA-E Rev-GL951A1900-1.80mm,C_001,TATA-E Rev-GL951A1900-1.80mm
KBI-TATA-X104-GL951X1040-1.40mm,C_001,TATA-X104-GL951X1040-1.40mm
KBI-WIRE SPRING-F-GM796A1300-F-2.80mm,C_001,WIRE SPRING-F-GM796A1300-F-2.80mm
KBI-SPRING ASS'Y-GL95156200-1.50mm,C_001,SPRING ASS'Y-GL95156200-1.50mm
KBI-CONICAL SPRING-GZ441W6100A-2.00mm,C_001,CONICAL SPRING-GZ441W6100A-2.00mm
WOORY-SPRING DETENT (BA/IA)-201502358500-0.30mm,C_002,SPRING DETENT (BA/IA)-201502358500-0.30mm
WOORY-BA-TEMP-201502357001-0.35mm,C_002,BA-TEMP-201502357001-0.35mm
WOORY-BA-MODE-201502357010-0.40mm,C_002,BA-MODE-201502357010-0.40mm
WOORY-IB-TEMP-201502390000-0.40mm,C_002,IB-TEMP-201502390000-0.40mm
WOORY-IB-MODE-201502390010-0.45mm,C_002,IB-MODE-201502390010-0.45mm
WOORY-AH2-INTAKE-201502522000-0.60mm,C_002,AH2-INTAKE-201502522000-0.60mm
WOORY-AH2-BLOWER-201502522031-0.30mm,C_002,AH2-BLOWER-201502522031-0.30mm
WOORY-AH2-M-CONTACTOR-201502522040-0.80mm,C_002,AH2-M-CONTACTOR-201502522040-0.80mm
WOORY-AH2-TEMP-201502522010-0.40mm,C_002,AH2-TEMP-201502522010-0.40mm
WOORY-AH2-MODE-201502522023-0.45mm,C_002,AH2-MODE-201502522023-0.45mm
WOORY-AH2-TEMP-LHD-201502522050-0.45mm,C_002,AH2-TEMP-LHD-201502522050-0.45mm
WOORY-AI3-TEMP-201502549501-0.40mm,C_002,AI3-TEMP-201502549501-0.40mm
WOORY-AI3-MODE(15±0.2)-201502549511-0.45mm,C_002,AI3-MODE(15±0.2)-201502549511-0.45mm
WOORY-AI3-BLOWER-201502549521-0.35mm,C_002,AI3-BLOWER-201502549521-0.35mm
WOORY-BI3-BLOWER-201502606000-0.30mm,C_002,BI3-BLOWER-201502606000-0.30mm
WOORY-BI3-M-CONTACTOR-201502606010-0.80mm,C_002,BI3-M-CONTACTOR-201502606010-0.80mm
WOORY-BI3-TEMP-201502606020-0.40mm,C_002,BI3-TEMP-201502606020-0.40mm
WOORY-BI3-MODE-201502606030-0.50mm,C_002,BI3-MODE-201502606030-0.50mm
WOORY-BC3-TEMP-RHD-201502608520-0.45mm,C_002,BC3-TEMP-RHD-201502608520-0.45mm
WOORY-BC3-MODE-201502608511-0.50mm,C_002,BC3-MODE-201502608511-0.50mm
WOORY-BC3-TEMP-LHD-201502608500-0.40mm,C_002,BC3-TEMP-LHD-201502608500-0.40mm
WOORY-QY-MODE-RHD-201502598500-0.50mm,C_002,QY-MODE-RHD-201502598500-0.50mm
WOORY-QY-TEMP-LHD(10.8±0.2)-201502598520-0.45mm,C_002,QY-TEMP-LHD(10.8±0.2)-201502598520-0.45mm
WOORY-QY-TEMP-RHD(11.5±0.2)-201502598510-0.45mm,C_002,QY-TEMP-RHD(11.5±0.2)-201502598510-0.45mm
WOORY-QY-TEMP-RHD(OLD)-201502598510-0.45mm,C_002,QY-TEMP-RHD(OLD)-201502598510-0.45mm
WOORY-QY-REAR-BLOWER-201502598700-0.45mm,C_002,QY-REAR-BLOWER-201502598700-0.45mm
WOORY-QY-NHTR-TEMP-201502598820-0.45mm,C_002,QY-NHTR-TEMP-201502598820-0.45mm
WOORY-QY-NHTR-BLOWER-201502598800-0.35mm,C_002,QY-NHTR-BLOWER-201502598800-0.35mm
WOORY-KY-MODE-201502655500-0.50mm,C_002,KY-MODE-201502655500-0.50mm
WOORY-KY-TEMP-RHD(0.50mm)-201502655510R-0.50mm,C_002,KY-TEMP-RHD(0.50mm)-201502655510R-0.50mm
WOORY-KY-TEMP-LHD(0.45mm)-201502655510-0.45mm,C_002,KY-TEMP-LHD(0.45mm)-201502655510-0.45mm
ROTORK-RETUN SPRING-RH-22829-0.70mm,C_003,RETUN SPRING-RH-22829-0.70mm
ROTORK-RETUN SPRING-LH-22828-0.70mm,C_003,RETUN SPRING-LH-22828-0.70mm
ROTORK-COUNTER PINION-20492-0.60mm,C_003,COUNTER PINION-20492-0.60mm
ROTORK-COUNTER SHAFT-20454-1.20mm,C_003,COUNTER SHAFT-20454-1.20mm
ROTORK-TENSION SPRING-25601-0.60mm,C_003,TENSION SPRING-25601-0.60mm
ROTORK-TENSION SPRING-25602-0.60mm,C_003,TENSION SPRING-25602-0.60mm
ROTORK-COMPRESSION SPRING-25642-0.60mm,C_003,COMPRESSION SPRING-25642-0.60mm
ROTORK-GROUND ENDS-25258-2.20mm,C_003,GROUND ENDS-25258-2.20mm
ROTORK-SPRING LC-059H-6-25257-1.50mm,C_003,SPRING LC-059H-6-25257-1.50mm
ROTORK-SPRING COMP-25622-1.20mm,C_003,SPRING COMP-25622-1.20mm
ROTORK-HAND AUTO RETURN SPRING-33255-1.50mm,C_003,HAND AUTO RETURN SPRING-33255-1.50mm
